,Index
2006-01-31,47.04573835582786
2006-02-28,46.667730078495964
2006-03-31,44.801784669926576
2006-04-30,44.31462407768776
2006-05-31,50.452853842489084
2006-06-30,51.76008499260169
2006-07-31,49.503710641980554
2006-08-31,48.78805205863977
2006-09-30,45.802412150716485
2006-10-31,45.26996274655961
2006-11-30,56.48155166019929
2006-12-31,42.507031791363104
2007-01-31,41.16243453308629
2007-02-28,42.81934004145583
2007-03-31,38.121018204370785
2007-04-30,50.24057025151194
2007-05-31,49.33716166032542
2007-06-30,52.36325341314983
2007-07-31,52.2006284753301
2007-08-31,52.2036047899447
2007-09-30,41.30122258455916
2007-10-31,36.324615473310494
2007-11-30,38.942158248726635
2007-12-31,48.68084330568374
2008-01-31,41.344663326729126
2008-02-29,42.850124959809506
2008-03-31,41.486591694371604
2008-04-30,40.623904874772364
2008-05-31,47.77609605197086
2008-06-30,50.06382089048321
2008-07-31,50.203486973884374
2008-08-31,42.32492044737097
2008-09-30,36.31429097425657
2008-10-31,35.66243472811656
2008-11-30,48.62054866776297
2008-12-31,48.968645103598796
2009-01-31,46.80901116061249
2009-02-28,46.21146325044672
2009-03-31,48.98955668272736
2009-04-30,43.076781414962916
2009-05-31,48.59714899594183
2009-06-30,51.83767096579996
2009-07-31,51.241792773033886
2009-08-31,46.04099420063795
2009-09-30,43.593233486665746
2009-10-31,50.999620931779695
2009-11-30,52.00322485692548
2009-12-31,47.4032533769446
2010-01-31,47.38091167666045
2010-02-28,46.62206915281475
2010-03-31,45.86275413915644
2010-04-30,50.242280516863325
2010-05-31,50.34910589812821
2010-06-30,51.827350618702546
2010-07-31,50.321262698251296
2010-08-31,51.614003093587655
2010-09-30,52.51272211022647
2010-10-31,56.022558844030264
2010-11-30,56.96229942844258
2010-12-31,56.04812744719627
2011-01-31,56.84246432304661
2011-02-28,56.79700441952732
2011-03-31,56.8691973806149
2011-04-30,62.288914397265195
2011-05-31,61.52633043893551
2011-06-30,57.596865943249
2011-07-31,56.878561775958886
2011-08-31,56.1481967914014
2011-09-30,59.91282593258012
2011-10-31,60.057037956748516
2011-11-30,60.744451032180095
2011-12-31,56.88646037158388
2012-01-31,56.298693299545235
2012-02-29,56.537505722639594
2012-03-31,55.605550182670775
2012-04-30,60.80400238801927
2012-05-31,58.87262435813581
2012-06-30,60.82785450393535
2012-07-31,60.91526522374105
2012-08-31,60.97810211949853
2012-09-30,54.08145995523999
2012-10-31,45.636521686589816
2012-11-30,45.347489951227296
2012-12-31,46.549581723392265
2013-01-31,20.27037854189765
2013-02-28,21.333452555831276
2013-03-31,20.93646885976378
2013-04-30,21.709751639211326
2013-05-31,22.54494158258427
2013-06-30,21.260238399578533
2013-07-31,21.309096700856237
2013-08-31,20.21686706358702
2013-09-30,18.465699719577163
2013-10-31,18.990767649920606
2013-11-30,17.07081243652356
2013-12-31,20.551492818700474
2014-01-31,18.790408060989716
2014-02-28,16.708566297918782
2014-03-31,18.36384007329081
2014-04-30,18.427305366400706
2014-05-31,18.719751036479085
2014-06-30,18.689042418769095
2014-07-31,18.631529385398157
2014-08-31,15.33786402520353
2014-09-30,19.920364685391064
2014-10-31,18.75317818153374
2014-11-30,20.03256844999647
2014-12-31,25.840871563148557
2015-01-31,24.61035067770152
2015-02-28,21.461072813700248
2015-03-31,20.722601147581337
2015-04-30,22.2764224830708
2015-05-31,19.606766675857788
2015-06-30,19.91922570792077
2015-07-31,19.98261235502678
2015-08-31,19.31329671438661
2015-09-30,19.791204804006224
2015-10-31,20.577980545291933
2015-11-30,22.025248267045743
2015-12-31,20.20157124644342
2016-01-31,16.21882720173125
2016-02-29,15.003040690904921
2016-03-31,24.241387638002674
2016-04-30,20.529626895837918
2016-05-31,21.640032622723755
2016-06-30,22.091833833956
2016-07-31,25.462251674359276
2016-08-31,21.22748897832304
2016-09-30,26.966021295748043
2016-10-31,24.720678337744637
2016-11-30,25.36804291554223
2016-12-31,24.53727168272124
